Date,Open,High,Low,Close,Volume
2015-01-02,169000,170500,167000,169000,458014
2015-01-05,171000,171000,166000,168000,454073
2015-01-06,166500,167000,164000,164500,635059
2015-01-07,163000,171500,163000,170000,511006
2015-01-08,172500,178000,171000,178000,902742
2015-01-09,180000,182500,177500,180000,717579
2015-01-12,178000,179500,175500,177500,684147
2015-01-13,181500,181500,178000,179500,713861
2015-01-14,181000,182500,176500,177500,392613
2015-01-15,178000,178000,173500,174500,378944
2015-01-16,172000,174000,169000,171000,584513
2015-01-19,172500,173500,171000,172500,317800
2015-01-20,173000,174500,172000,173500,230296
2015-01-21,172500,176000,168500,171500,487848
2015-01-22,171500,174000,164500,168000,934624
2015-01-23,170500,171000,167000,168000,808652
2015-01-26,165500,166500,163500,164500,1025813
2015-01-27,166000,166000,161000,164000,807357
2015-01-28,164500,166000,163000,165500,575233
2015-01-29,165500,168500,164500,167000,415472
2015-01-30,168500,171000,167000,169500,708694
2015-02-02,170000,171000,168500,171000,434084
2015-02-03,169000,169500,165500,166000,704421
2015-02-04,166500,168000,165500,166500,827022
2015-02-05,166000,167500,165500,166000,381546
2015-02-06,166000,167000,161000,163500,1051919
2015-02-09,162000,162500,156000,157500,865369
2015-02-10,157000,160000,156000,156500,543125
2015-02-11,157500,158000,155000,157000,590973
2015-02-12,158000,158000,155000,155000,545256
2015-02-13,156000,160500,156000,158000,565464
2015-02-16,159000,160000,157500,158000,305310
2015-02-17,158000,163500,158000,162500,616701
2015-02-23,166000,167000,160500,162000,661014
2015-02-24,164000,164500,161500,162500,450646
2015-02-25,163500,164500,162500,164000,502056
2015-02-26,164500,164500,162000,163500,472204
2015-02-27,163000,164000,160000,160500,668860
2015-03-02,162000,162500,160000,161500,478539
2015-03-03,162500,168500,161500,166500,735321
2015-03-04,167500,169000,163000,163500,635636
2015-03-05,163000,169000,163000,167500,481426
2015-03-06,169000,173500,168000,173000,930838
2015-03-09,172500,173000,169000,169000,616415
2015-03-10,171000,173500,170000,173000,657344
2015-03-11,171000,178500,170000,176500,1126499
2015-03-12,177500,177500,172000,172000,839816
2015-03-13,173500,174500,170000,172000,497175
2015-03-16,172500,177000,172000,175500,794357
2015-03-17,178000,182000,177000,182000,1193025
2015-03-18,183000,186000,182000,182000,868610
2015-03-19,186000,187000,180500,184000,772519
2015-03-20,185000,185500,179000,181000,798518
2015-03-23,182000,182500,176500,179000,650348
2015-03-24,178500,178500,173000,175000,868581
2015-03-25,173500,174500,170000,170000,894773
2015-03-26,168500,172000,167500,169000,630097
2015-03-27,170000,171000,167000,167500,556195
2015-03-30,168500,170000,166500,167000,400470
2015-03-31,170000,172500,167500,168500,545852
2015-04-01,167500,168000,163000,164000,687942
2015-04-02,165500,168000,164000,164000,499028
2015-04-03,166500,167500,165500,166000,406857
2015-04-06,166500,166500,162000,162000,567728
2015-04-07,162500,164000,160500,161500,493303
2015-04-08,162500,163500,161000,161000,582165
2015-04-09,161000,164500,161000,161500,552693
2015-04-10,162500,168500,162500,167500,897568
2015-04-13,169000,169500,166500,167000,874056
2015-04-14,167500,171500,166000,171000,855013
2015-04-15,173500,173500,169500,170000,582563
2015-04-16,170500,171000,167000,169000,642025
2015-04-17,168000,171000,168000,170000,582544
2015-04-20,168000,174500,168000,174500,953611
2015-04-21,174000,175000,170000,171000,753660
2015-04-22,170000,172000,169000,170000,828845
2015-04-23,172000,176500,170000,175500,1216380
2015-04-24,178000,180000,176500,177500,1211753
2015-04-27,179500,181000,175000,176000,748451
2015-04-28,176500,177000,170500,172500,740146
2015-04-29,171500,172000,168500,171000,601241
2015-04-30,170500,171000,169000,169000,427815
2015-05-04,170000,173000,169000,172000,380816
2015-05-06,171500,175000,170500,171500,503864
2015-05-07,170500,174000,170000,173000,402405
2015-05-08,172500,175000,172000,173000,468895
2015-05-11,175000,175500,169500,169500,436637
2015-05-12,170000,170500,168000,169000,458718
2015-05-13,169000,170000,164500,166000,757632
2015-05-14,165000,166000,163000,164000,549230
2015-05-15,165500,166500,163000,163500,658615
2015-05-18,163000,163500,161000,162500,487389
2015-05-19,161000,163500,160000,162500,500399
2015-05-20,164000,165000,161500,162500,486568
2015-05-21,162500,163000,159500,159500,560571
2015-05-22,159500,162500,159500,162500,483612
2015-05-26,162500,163000,159500,160000,771656
2015-05-27,157500,158500,157000,157000,812113
2015-05-28,157500,158500,155000,156000,720265
2015-05-29,157500,159000,156000,158000,790681
2015-06-01,157500,158000,153000,154500,661877
2015-06-02,151500,151500,138000,138500,3463055
2015-06-03,138500,139000,132000,135500,3117196
2015-06-04,136500,140500,135500,139000,1737559
2015-06-05,138000,140500,137000,137500,1081459
2015-06-08,137500,139000,133000,134500,1119635
2015-06-09,136000,137500,135000,135500,659565
2015-06-10,137000,137500,132500,134500,977599
2015-06-11,137500,142000,136500,138000,1652650
2015-06-12,139500,141000,135000,136000,645129
2015-06-15,136500,137500,134500,136500,465681
2015-06-16,135500,138000,131500,137000,1072315
2015-06-17,138000,138000,135000,136000,552346
2015-06-18,137000,137500,131000,131500,1115055
2015-06-19,132000,133000,128000,130000,973949
2015-06-22,131000,133000,130000,132000,784690
2015-06-23,133500,134000,131000,131000,715018
2015-06-24,131500,133000,131000,133000,682058
2015-06-25,133000,134500,131500,132000,545527
2015-06-26,132000,136500,132000,135000,819996
2015-06-29,132500,134500,131500,134500,630861
2015-06-30,135000,137000,134500,136000,635953
2015-07-01,136000,136500,133500,136500,666296
2015-07-02,136500,136500,134000,135500,1096166
2015-07-03,135000,135500,134000,135000,351816
2015-07-06,131500,134000,131500,133000,784386
2015-07-07,132500,133000,130500,131500,801649
2015-07-08,131000,131500,128000,128000,1004894
2015-07-09,125500,129500,125500,127000,911818
2015-07-10,126500,127500,123500,124000,1166534
2015-07-13,124000,126000,124000,125500,368577
2015-07-14,126000,127000,124500,125500,581446
2015-07-15,126000,128500,125500,126500,491854
2015-07-16,126000,128000,126000,127000,518944
2015-07-17,126500,127000,123000,123500,893463
2015-07-20,123000,125500,123000,124000,537690
2015-07-21,125000,134000,124500,133000,1327713
2015-07-22,132500,134000,128000,131000,887693
2015-07-23,131000,139500,130500,138000,1512712
2015-07-24,138000,140500,135500,139000,1013380
2015-07-27,139000,145500,138000,145000,1414445
2015-07-28,143000,148000,141500,145000,1170007
2015-07-29,145000,146500,142500,146000,735122
2015-07-30,146500,151000,144500,150000,1233619
2015-07-31,149500,151000,146000,149000,746904
2015-08-03,148500,150000,143500,143500,753561
2015-08-04,141000,145500,140500,144000,368056
2015-08-05,144500,146500,142000,145500,358304
2015-08-06,144000,144500,138000,139500,829920
2015-08-07,139000,139000,134500,138000,581892
2015-08-10,138500,141500,136500,140000,367835
2015-08-11,141000,142000,138000,139000,384972
2015-08-12,139500,149500,139000,146000,1656891
2015-08-13,145000,147000,142500,144500,957016
2015-08-17,143500,146000,143500,143500,449849
2015-08-18,144500,148500,144000,146500,628892
2015-08-19,145500,149000,145500,148000,810111
2015-08-20,147000,149500,146000,149000,697471
