Date,Open,High,Low,Close,Volume
2015-01-02,26799,26799,26540,26600,175499
2015-01-05,26720,26720,26260,26660,202790
2015-01-06,26300,26340,25760,25900,304710
2015-01-07,25880,26220,25640,26140,286455
2015-01-08,26780,26780,26199,26280,289552
2015-01-09,26280,26440,26280,26280,186248
2015-01-12,26260,26379,26020,26320,166508
2015-01-13,26280,26800,26000,26780,245868
2015-01-14,26780,27100,26700,26900,286645
2015-01-15,26900,26979,26580,26680,282078
2015-01-16,26680,26680,26260,26320,271370
2015-01-19,26580,26980,26400,26860,133459
2015-01-20,27000,27440,26900,27440,265561
2015-01-21,27340,27900,27200,27900,332253
2015-01-22,27960,27979,27560,27560,359154
2015-01-23,27999,27999,27540,27720,257175
2015-01-26,27500,27900,27280,27780,203070
2015-01-27,27500,27999,27480,28000,199144
2015-01-28,27720,27800,27479,27560,216630
2015-01-29,27360,27900,27140,27200,274045
2015-01-30,27200,27540,27200,27300,322200
2015-02-02,27299,27540,27120,27360,210420
2015-02-03,27600,27600,27180,27320,113088
2015-02-04,27500,27620,27180,27180,186578
2015-02-05,27180,27379,26920,27160,135408
2015-02-06,26919,27480,26720,27440,160101
2015-02-09,27200,27980,27140,27900,173870
2015-02-10,28000,28000,27540,27560,130387
2015-02-11,27480,27480,27080,27100,199476
2015-02-12,26800,27160,26620,26880,214964
2015-02-13,27200,27220,26900,27220,130458
2015-02-16,27360,27480,27220,27480,124530
2015-02-17,27479,27539,27280,27540,114900
2015-02-23,27560,27800,27320,27340,306036
2015-02-24,27699,27780,27280,27340,217265
2015-02-25,27600,27700,27460,27580,167485
2015-02-26,27580,27600,27360,27500,163583
2015-02-27,27500,27520,27140,27140,260188
2015-03-02,27500,28460,27340,28460,436112
2015-03-03,28699,28740,28119,28360,274976
2015-03-04,28220,28800,28200,28740,232062
2015-03-05,28780,28860,28340,28440,192312
2015-03-06,28280,28980,28120,28840,234670
2015-03-09,28800,28800,28400,28400,156292
2015-03-10,28679,28860,28400,28420,208397
2015-03-11,28380,29580,28360,29480,422173
2015-03-12,29200,29460,28940,28940,383064
2015-03-13,29220,29580,29100,29140,188262
2015-03-16,29160,29740,29100,29400,179491
2015-03-17,29399,29999,29200,29940,273223
2015-03-18,29920,30120,29720,30060,249287
2015-03-19,30200,30200,29400,29400,264516
2015-03-20,29500,29600,29200,29280,254099
2015-03-23,29240,29480,29160,29340,162458
2015-03-24,29099,29560,29099,29520,182263
2015-03-25,29740,29760,29440,29700,187381
2015-03-26,29000,29120,28420,28420,420119
2015-03-27,28300,28960,28300,28420,321316
2015-03-30,28500,28680,28240,28560,179110
2015-03-31,28979,29040,28600,28820,196853
2015-04-01,28740,28740,28400,28460,145321
2015-04-02,28680,28799,28460,28680,138068
2015-04-03,28680,28799,28399,28680,125403
2015-04-06,28860,29800,28700,29400,211652
2015-04-07,29560,29700,29240,29240,190521
2015-04-08,29400,29700,29200,29580,155468
2015-04-09,29400,29780,29400,29660,182151
2015-04-10,29600,29880,29560,29800,199202
2015-04-13,29580,29819,29360,29580,205866
2015-04-14,29699,29699,29300,29480,188595
2015-04-15,29199,29400,28539,28920,271021
2015-04-16,29239,29540,28940,29540,215247
2015-04-17,29539,29559,28940,29000,203446
2015-04-20,28920,28960,28460,28600,247898
2015-04-21,28420,28900,28399,28880,237053
2015-04-22,28879,29460,28720,29220,253111
2015-04-23,29400,29400,28800,29020,184903
2015-04-24,28979,29100,28000,28200,381798
2015-04-27,28200,28220,27500,27900,330343
2015-04-28,27799,28000,27180,27320,313946
2015-04-29,27339,27880,27279,27700,217913
2015-04-30,27699,28360,27580,28200,367057
2015-05-04,28140,28460,27940,28000,165674
2015-05-06,27800,27819,27120,27240,265410
2015-05-07,27240,27500,27080,27400,205148
2015-05-08,27319,27400,26760,26760,189762
2015-05-11,27200,27200,26719,26720,192809
2015-05-12,26900,27060,26480,26620,212664
2015-05-13,26979,26979,26520,26660,197545
2015-05-14,26820,26860,26559,26800,169770
2015-05-15,27100,27120,26420,26520,178447
2015-05-18,26700,26700,26180,26400,192537
2015-05-19,26419,27100,26139,26760,173618
2015-05-20,26980,27400,26820,27320,205829
2015-05-21,27420,27440,26880,27040,144212
2015-05-22,27060,27060,26700,27000,163916
2015-05-26,27320,27380,26720,27240,200683
2015-05-27,27200,27319,26260,26280,345309
2015-05-28,26340,26420,26020,26180,300963
2015-05-29,26399,26420,25940,26140,347615
2015-06-01,26000,26020,25760,25820,218439
2015-06-02,26000,26060,25760,26060,175151
2015-06-03,26060,26320,25300,25460,235388
2015-06-04,26300,26820,26100,26740,388239
2015-06-05,26499,27100,26400,26820,196563
2015-06-08,26900,26940,26260,26280,202379
2015-06-09,26000,26200,25360,25640,274705
2015-06-10,25640,25880,25240,25240,250034
2015-06-11,25260,25480,25060,25140,306281
2015-06-12,25560,25740,25280,25540,234830
2015-06-15,25100,25480,25100,25400,161356
2015-06-16,25400,25480,24900,25100,255352
2015-06-17,25000,25320,24800,25080,189046
2015-06-18,25180,25580,25020,25300,164952
2015-06-19,25320,25560,25200,25320,141895
2015-06-22,25820,25920,25520,25620,127418
2015-06-23,26180,26559,25820,26420,203180
2015-06-24,26000,26220,25820,26040,203960
2015-06-25,25800,26060,25380,25380,213916
2015-06-26,25040,25800,25040,25560,206950
2015-06-29,25380,25700,25120,25620,230399
2015-06-30,25520,25700,25320,25360,197407
2015-07-01,25360,26040,25180,25900,166498
2015-07-02,25720,26080,25700,25980,164460
2015-07-03,25740,25880,25340,25360,142604
2015-07-06,25060,25200,24460,24600,201999
2015-07-07,24400,25180,24400,24800,249565
2015-07-08,24800,25020,24640,24780,235619
2015-07-09,24600,25300,24520,25300,280610
2015-07-10,25140,25320,24960,25180,191468
2015-07-13,25000,25440,24900,25320,153441
2015-07-14,25300,25400,24420,24500,399794
2015-07-15,24500,24760,24480,24700,167413
2015-07-16,24460,25740,24460,25640,223469
2015-07-17,26000,26220,25560,26100,297233
2015-07-20,25820,26080,25460,25500,128928
2015-07-21,25500,25540,24940,25260,194055
2015-07-22,24880,25200,24700,25060,268323
2015-07-23,24880,25060,24680,24680,208965
2015-07-24,24540,24760,24480,24580,196584
2015-07-27,24580,24940,24560,24600,243040
2015-07-28,24480,25020,24380,24600,267627
2015-07-29,25000,25500,24620,25260,274689
2015-07-30,25160,25200,24300,24300,308392
2015-07-31,24400,24440,23500,23700,391589
2015-08-03,23680,23680,23320,23500,196891
2015-08-04,23500,23740,23400,23640,256887
2015-08-05,23640,23640,23160,23180,256050
2015-08-06,23100,23120,22300,22300,403981
2015-08-07,22400,22740,22300,22720,275742
2015-08-10,22800,22840,22600,22820,114450
2015-08-11,23020,23580,22960,23140,233286
2015-08-12,23000,23280,22800,23080,223080
2015-08-13,23060,23060,22760,22800,150411
2015-08-17,22800,22820,22080,22080,227217
2015-08-18,22360,22820,22340,22620,231672
2015-08-19,23380,23520,22820,23080,401415
2015-08-20,23260,23420,22600,22780,216119
2015-08-21,21980,22560,21920,22020,408851
2015-08-24,21760,22300,20660,21580,448592
2015-08-25,21580,22140,21340,21580,392519
2015-08-26,21360,21480,21000,21340,558952
2015-08-27,21640,21720,21260,21340,495388
2015-08-28,21720,21720,21460,21620,462223
2015-08-31,21420,21780,21040,21780,408309
2015-09-01,21780,21960,21620,21700,240372
2015-09-02,21380,21900,21300,21800,312683
2015-09-03,22040,22460,21860,22440,305142
2015-09-04,22880,22880,22360,22580,251734
2015-09-07,22580,22580,22100,22240,191805
2015-09-08,22260,22720,22120,22620,182330
2015-09-09,22920,22940,22720,22940,259376
2015-09-10,22600,22780,22360,22680,362568
2015-09-11,22520,22660,22300,22300,204167
2015-09-14,22400,22480,22200,22480,167073
2015-09-15,22280,22560,22260,22460,232956
2015-09-16,22420,23140,22420,23040,343763
2015-09-17,23060,23140,22880,23140,273960
2015-09-18,22900,23840,22700,23800,436270
2015-09-21,23260,23460,23000,23000,205359
2015-09-22,22860,23000,22600,22900,250675
2015-09-23,22880,22880,22500,22620,197649
2015-09-24,22520,22700,22500,22520,132721
2015-09-25,22400,22500,22180,22240,209160
2015-09-30,22000,22680,21800,22680,458936
2015-10-01,22800,22900,22420,22680,241041
2015-10-02,22240,22660,22240,22380,274302
2015-10-05,22380,22620,22300,22300,241935
2015-10-06,22600,23100,22540,23020,382987
2015-10-07,23960,25040,23720,25020,799502
2015-10-08,25000,25580,25000,25400,570677
2015-10-12,25200,25260,24940,25200,378974
2015-10-13,25200,25440,24960,25040,198000
2015-10-14,24960,25200,24740,25080,175051
2015-10-15,24880,25640,24860,25380,248503
2015-10-16,25300,25380,25180,25300,143968
2015-10-19,25140,25300,24980,25120,117070
2015-10-20,25200,25460,25120,25320,150347
2015-10-21,25300,25640,25180,25400,139567
2015-10-22,25600,25900,25380,25600,230673
2015-10-23,26000,26000,25560,25780,263071
2015-10-26,25960,25960,25440,25840,152165
2015-10-27,25640,25980,25620,25960,132241
2015-10-28,25880,26160,25820,26160,271303
2015-10-29,26599,27839,26480,26500,630471
2015-10-30,26900,27800,26819,27440,509385
2015-11-02,27700,27860,27479,27660,386546
2015-11-03,27620,27620,26999,27040,301840
2015-11-04,27040,27219,26519,26600,281070
2015-11-05,26600,27079,26600,26840,173042
2015-11-06,26860,26960,26600,26760,164322
2015-11-09,26760,26880,26419,26880,185661
2015-11-10,26720,26820,26280,26420,197551
2015-11-11,26419,26900,26419,26660,140449
2015-11-12,26660,26680,26340,26340,157417
2015-11-13,26340,26340,26000,26000,177677
2015-11-16,25820,25820,25260,25260,275705
2015-11-17,25500,25800,25400,25400,186184
2015-11-18,25440,25800,25440,25620,167735
2015-11-19,25800,25800,25420,25780,192850
2015-11-20,25780,25920,25560,25700,168720
2015-11-23,25700,26040,25620,25640,198820
2015-11-24,25640,26100,25640,25980,159560
2015-11-25,26000,26200,25980,25980,142627
2015-11-26,25980,26800,25980,26700,185800
2015-11-27,26900,26980,26540,26540,169854
2015-11-30,26500,26500,25680,25680,534006
2015-12-01,25880,26440,25760,26420,252113
2015-12-02,26420,26440,25880,26000,229628
2015-12-03,25900,25940,25720,25800,166695
2015-12-04,25500,25600,25340,25380,192711
2015-12-07,25380,25500,25240,25240,196107
2015-12-08,25240,25440,25240,25240,138322
2015-12-09,25240,25500,25240,25260,181812
2015-12-10,25260,25860,25260,25660,303867
2015-12-11,25660,25900,25440,25680,206729
2015-12-14,25460,25460,25100,25220,222801
2015-12-15,25220,25600,25200,25540,175494
2015-12-16,25560,26200,25560,25980,207962
2015-12-17,26020,26160,25500,25800,174677
2015-12-18,25300,25760,25280,25560,168369
2015-12-21,25560,25700,25220,25600,160466
2015-12-22,25600,25840,25340,25840,206192
2015-12-23,25840,25980,25640,25900,207148
2015-12-24,25900,26000,25700,25700,156151
2015-12-28,25700,25780,25320,25320,227230
2015-12-29,25300,25320,24820,25080,232944
2015-12-30,25200,25440,25080,25200,203958
2016-01-04,25200,25200,24100,24100,306939
2016-01-05,24040,24360,23720,24160,216002
2016-01-06,24160,24160,23360,23500,366752
2016-01-07,23320,23660,23020,23260,282388
2016-01-08,23260,23720,23260,23420,257763
2016-01-11,23120,23320,22920,23040,241277
2016-01-12,22960,23320,22880,22920,206283
2016-01-13,23060,23180,22960,22960,143316
2016-01-14,22620,22840,22620,22760,209022
2016-01-15,22800,23040,22480,22640,209464
2016-01-18,21760,22660,21760,22520,320214
2016-01-19,22560,23420,22560,23420,207242
2016-01-20,23200,23200,22640,22760,167052
2016-01-21,22660,23100,22500,22620,190352
2016-01-22,22900,23360,22900,23360,147528
2016-01-25,23440,23520,23120,23240,159913
2016-01-26,23100,23140,22720,22740,152399
2016-01-27,22520,23500,22520,23500,276237
2016-01-28,23280,23360,22780,22900,315912
2016-01-29,22800,23000,22320,23000,436983
2016-02-01,23040,23260,23020,23260,259979
2016-02-02,23220,23320,22940,23120,166348
